ProductId,DrawNumber,DrawDate,PrimaryNumbers,SecondaryNumbers,TicketNumbers,Dividends
TattsLotto,4137,2021-03-13T00:00:00,"[27, 17, 37, 15, 40, 22]","[2, 4]",,"[{'Division': 1, 'BlocNumberOfWinners': 5, 'BlocDividend': 1165537.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 2, 'CompanyDividend': 1165537.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 68, 'BlocDividend': 9707.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 15, 'CompanyDividend': 9707.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1087, 'BlocDividend': 919.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 199, 'CompanyDividend': 919.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 60015, 'BlocDividend': 24.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 11686, 'CompanyDividend': 24.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 148217, 'BlocDividend': 14.75, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 29072, 'CompanyDividend': 14.75, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 805827, 'BlocDividend': 8.3, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 157037, 'CompanyDividend': 8.3, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4135,2021-03-06T00:00:00,"[42, 26, 32, 16, 39, 11]","[30, 6]",,"[{'Division': 1, 'BlocNumberOfWinners': 5, 'BlocDividend': 1156990.8, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 1156990.8, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 82, 'BlocDividend': 7971.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 17, 'CompanyDividend': 7971.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1112, 'BlocDividend': 889.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 253, 'CompanyDividend': 889.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 54150, 'BlocDividend': 27.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 10995, 'CompanyDividend': 27.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 135261, 'BlocDividend': 16.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 26997, 'CompanyDividend': 16.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 755056, 'BlocDividend': 8.75, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 148164, 'CompanyDividend': 8.75, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4133,2021-02-27T00:00:00,"[35, 24, 45, 4, 42, 6]","[38, 36]",,"[{'Division': 1, 'BlocNumberOfWinners': 1, 'BlocDividend': 5911619.2, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 5911619.2, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 45, 'BlocDividend': 14840.8, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9, 'CompanyDividend': 14840.8, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 820, 'BlocDividend': 1232.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 170, 'CompanyDividend': 1232.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 48851, 'BlocDividend': 30.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9552, 'CompanyDividend': 30.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 123140, 'BlocDividend': 17.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 23930, 'CompanyDividend': 17.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 737895, 'BlocDividend': 9.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 143811, 'CompanyDividend': 9.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4131,2021-02-20T00:00:00,"[9, 3, 5, 41, 35, 26]","[45, 28]",,"[{'Division': 1, 'BlocNumberOfWinners': 2, 'BlocDividend': 3062082.06, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 1, 'CompanyDividend': 3062082.06, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 59, 'BlocDividend': 11759.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 13, 'CompanyDividend': 11759.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1093, 'BlocDividend': 960.7, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 236, 'CompanyDividend': 960.7, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 59500, 'BlocDividend': 26.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 12258, 'CompanyDividend': 26.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 142701, 'BlocDividend': 16.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 27891, 'CompanyDividend': 16.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 873230, 'BlocDividend': 8.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 174315, 'CompanyDividend': 8.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4129,2021-02-13T00:00:00,"[43, 22, 1, 4, 3, 42]","[24, 25]",,"[{'Division': 1, 'BlocNumberOfWinners': 8, 'BlocDividend': 2500000.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 2, 'CompanyDividend': 2500000.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 101, 'BlocDividend': 13772.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 24, 'CompanyDividend': 13772.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 2059, 'BlocDividend': 1022.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 523, 'CompanyDividend': 1022.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 109843, 'BlocDividend': 28.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 27455, 'CompanyDividend': 28.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 279356, 'BlocDividend': 16.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 69242, 'CompanyDividend': 16.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 1660993, 'BlocDividend': 8.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 404962, 'CompanyDividend': 8.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4127,2021-02-06T00:00:00,"[3, 10, 12, 6, 8, 24]","[36, 45]",,"[{'Division': 1, 'BlocNumberOfWinners': 14, 'BlocDividend': 428018.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3, 'CompanyDividend': 428018.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 80, 'BlocDividend': 8459.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 14, 'CompanyDividend': 8459.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 2515, 'BlocDividend': 407.25, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 546, 'CompanyDividend': 407.25, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 93938, 'BlocDividend': 16.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 18864, 'CompanyDividend': 16.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 154242, 'BlocDividend': 14.55, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 30046, 'CompanyDividend': 14.55, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 1059772, 'BlocDividend': 6.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 211967, 'CompanyDividend': 6.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4125,2021-01-30T00:00:00,"[20, 3, 31, 30, 15, 6]","[2, 26]",,"[{'Division': 1, 'BlocNumberOfWinners': 4, 'BlocDividend': 1473168.76, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 1473168.76, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 79, 'BlocDividend': 8429.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 10, 'CompanyDividend': 8429.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1442, 'BlocDividend': 698.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 281, 'CompanyDividend': 698.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 66790, 'BlocDividend': 22.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 13192, 'CompanyDividend': 22.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 161321, 'BlocDividend': 13.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 31226, 'CompanyDividend': 13.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 886413, 'BlocDividend': 7.6, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 172373, 'CompanyDividend': 7.6, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4123,2021-01-23T00:00:00,"[6, 8, 40, 10, 29, 1]","[31, 42]",,"[{'Division': 1, 'BlocNumberOfWinners': 9, 'BlocDividend': 678308.17, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 1, 'CompanyDividend': 678308.17, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 70, 'BlocDividend': 9878.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 14, 'CompanyDividend': 9878.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1493, 'BlocDividend': 701.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 304, 'CompanyDividend': 701.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 74482, 'BlocDividend': 20.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 14706, 'CompanyDividend': 20.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 143997, 'BlocDividend': 15.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 28339, 'CompanyDividend': 15.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 1007828, 'BlocDividend': 6.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 199324, 'CompanyDividend': 6.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4121,2021-01-16T00:00:00,"[17, 12, 22, 4, 14, 33]","[25, 28]",,"[{'Division': 1, 'BlocNumberOfWinners': 6, 'BlocDividend': 1052281.12, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 1, 'CompanyDividend': 1052281.12, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 110, 'BlocDividend': 6475.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 23, 'CompanyDividend': 6475.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1337, 'BlocDividend': 806.3, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 267, 'CompanyDividend': 806.3, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 67533, 'BlocDividend': 23.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 13871, 'CompanyDividend': 23.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 173451, 'BlocDividend': 13.6, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 34751, 'CompanyDividend': 13.6, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 915938, 'BlocDividend': 7.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 185964, 'CompanyDividend': 7.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
TattsLotto,4119,2021-01-09T00:00:00,"[9, 22, 34, 20, 7, 45]","[12, 10]",,"[{'Division': 1, 'BlocNumberOfWinners': 7, 'BlocDividend': 1428571.43, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 2, 'CompanyDividend': 1428571.43, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 105, 'BlocDividend': 9962.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 18, 'CompanyDividend': 9962.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 1771, 'BlocDividend': 893.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 430, 'CompanyDividend': 893.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 92072, 'BlocDividend': 25.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 21757, 'CompanyDividend': 25.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 242401, 'BlocDividend': 14.3, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 57230, 'CompanyDividend': 14.3, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 1303810, 'BlocDividend': 8.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 305592, 'CompanyDividend': 8.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
