"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"03/02/21","8","9","10","16","36","42","41","44"
"27/01/21","13","21","36","38","39","45","33","42"
"20/01/21","12","20","22","32","38","42","4","41"
"13/01/21","5","13","14","25","38","43","7","31"
"06/01/21","19","26","29","30","31","35","6","20"
"30/12/20","2","4","11","20","28","30","7","21"
"23/12/20","11","15","16","19","21","30","2","9"
"16/12/20","2","8","16","24","37","44","9","38"
"09/12/20","2","7","17","19","21","33","10","34"
"02/12/20","24","25","28","34","39","45","2","42"
"25/11/20","4","6","21","35","37","40","20","26"
"18/11/20","9","11","18","27","37","41","6","19"
"11/11/20","4","14","20","25","30","45","5","42"
"04/11/20","1","14","18","20","27","36","4","15"
"28/10/20","12","14","21","23","38","39","33","36"
"21/10/20","6","17","36","38","40","45","26","30"
"14/10/20","10","17","18","34","40","41","5","36"
"07/10/20","6","7","9","10","13","17","19","35"
"30/09/20","10","11","13","26","40","43","29","44"
"23/09/20","1","4","5","6","31","32","3","11"
"16/09/20","3","4","13","16","22","23","26","45"
"09/09/20","4","7","26","35","37","43","30","44"
"02/09/20","2","7","21","22","34","40","3","44"
"26/08/20","2","11","12","15","32","45","27","36"
"19/08/20","3","12","13","30","37","44","11","31"
"12/08/20","5","6","27","30","37","40","3","36"
"05/08/20","10","11","14","18","39","40","23","34"
"29/07/20","4","8","18","20","21","45","17","27"
"22/07/20","1","4","7","8","39","40","17","44"
"15/07/20","1","5","9","14","32","35","24","39"
"08/07/20","1","3","9","24","42","43","23","25"
"01/07/20","11","13","20","25","39","43","17","37"
"24/06/20","3","21","38","41","42","45","4","32"
"17/06/20","6","10","17","20","27","34","1","2"
"10/06/20","3","6","14","28","33","43","11","37"
"03/06/20","1","13","24","28","35","41","17","43"
"27/05/20","8","9","19","23","31","35","6","40"
"20/05/20","4","15","16","17","20","44","41","45"
"13/05/20","9","25","28","31","33","38","27","35"
"06/05/20","3","5","14","26","27","29","32","44"
"29/04/20","4","7","17","20","38","39","33","44"
"22/04/20","4","11","15","19","24","43","8","12"
