ProductId,DrawNumber,DrawDate,PrimaryNumbers,SecondaryNumbers,TicketNumbers,Dividends
MonWedLotto,4061,2021-03-17T00:00:00,"[38, 22, 35, 24, 7, 4]","[31, 1]",,"[{'Division': 1, 'BlocNumberOfWinners': 1, 'BlocDividend': 1000000.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 1000000.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 8, 'BlocDividend': 7947.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 2, 'CompanyDividend': 7947.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 213, 'BlocDividend': 462.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 79, 'CompanyDividend': 462.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 11136, 'BlocDividend': 25.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4241, 'CompanyDividend': 25.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 27222, 'BlocDividend': 14.65, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9759, 'CompanyDividend': 14.65, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 55645, 'BlocDividend': 12.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 20227, 'CompanyDividend': 12.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4060,2021-03-15T00:00:00,"[21, 45, 44, 24, 1, 16]","[29, 36]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 8, 'BlocDividend': 7628.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3, 'CompanyDividend': 7628.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 205, 'BlocDividend': 460.7, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 67, 'CompanyDividend': 460.7, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 9327, 'BlocDividend': 28.8, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3386, 'CompanyDividend': 28.8, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 23347, 'BlocDividend': 16.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 8733, 'CompanyDividend': 16.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 48343, 'BlocDividend': 13.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 18649, 'CompanyDividend': 13.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4059,2021-03-10T00:00:00,"[6, 42, 26, 30, 8, 25]","[36, 31]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 7, 'BlocDividend': 9399.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3, 'CompanyDividend': 9399.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 211, 'BlocDividend': 482.6, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 87, 'CompanyDividend': 482.6, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 11124, 'BlocDividend': 26.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4043, 'CompanyDividend': 26.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 26919, 'BlocDividend': 15.3, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9551, 'CompanyDividend': 15.3, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 51657, 'BlocDividend': 13.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 18857, 'CompanyDividend': 13.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4058,2021-03-08T00:00:00,"[9, 27, 6, 43, 21, 19]","[24, 10]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 5, 'BlocDividend': 11956.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4, 'CompanyDividend': 11956.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 218, 'BlocDividend': 424.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 76, 'CompanyDividend': 424.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 12271, 'BlocDividend': 21.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4984, 'CompanyDividend': 21.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 28937, 'BlocDividend': 12.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 11820, 'CompanyDividend': 12.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 60001, 'BlocDividend': 10.55, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 25212, 'CompanyDividend': 10.55, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4057,2021-03-03T00:00:00,"[24, 42, 7, 40, 36, 25]","[44, 15]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 10, 'BlocDividend': 6731.75, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4, 'CompanyDividend': 6731.75, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 208, 'BlocDividend': 500.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 83, 'CompanyDividend': 500.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 10952, 'BlocDividend': 27.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3883, 'CompanyDividend': 27.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 26172, 'BlocDividend': 16.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9366, 'CompanyDividend': 16.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 49198, 'BlocDividend': 14.5, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 17208, 'CompanyDividend': 14.5, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4056,2021-03-01T00:00:00,"[11, 10, 45, 44, 21, 20]","[5, 24]",,"[{'Division': 1, 'BlocNumberOfWinners': 1, 'BlocDividend': 1000000.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 1, 'CompanyDividend': 1000000.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 8, 'BlocDividend': 7725.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 2, 'CompanyDividend': 7725.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 216, 'BlocDividend': 442.8, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 80, 'CompanyDividend': 442.8, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 10649, 'BlocDividend': 25.55, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3996, 'CompanyDividend': 25.55, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 27597, 'BlocDividend': 14.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 10598, 'CompanyDividend': 14.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 62582, 'BlocDividend': 10.45, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 25483, 'CompanyDividend': 10.45, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4055,2021-02-24T00:00:00,"[45, 44, 40, 17, 16, 29]","[13, 21]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 9, 'BlocDividend': 13104.25, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4, 'CompanyDividend': 13104.25, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 201, 'BlocDividend': 908.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 50, 'CompanyDividend': 908.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 11021, 'BlocDividend': 47.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3424, 'CompanyDividend': 47.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 29499, 'BlocDividend': 25.05, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 9669, 'CompanyDividend': 25.05, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 78361, 'BlocDividend': 15.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 27428, 'CompanyDividend': 15.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4054,2021-02-22T00:00:00,"[6, 16, 5, 45, 15, 21]","[38, 37]",,"[{'Division': 1, 'BlocNumberOfWinners': 1, 'BlocDividend': 1000000.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 1000000.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 11, 'BlocDividend': 6634.6, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 3, 'CompanyDividend': 6634.6, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 260, 'BlocDividend': 434.4, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 83, 'CompanyDividend': 434.4, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 12416, 'BlocDividend': 25.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4503, 'CompanyDividend': 25.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 28362, 'BlocDividend': 16.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 10286, 'CompanyDividend': 16.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 51735, 'BlocDividend': 14.95, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 18510, 'CompanyDividend': 14.95, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4053,2021-02-17T00:00:00,"[15, 22, 38, 27, 4, 19]","[44, 1]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 15, 'BlocDividend': 7752.8, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 7, 'CompanyDividend': 7752.8, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 295, 'BlocDividend': 602.9, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 104, 'CompanyDividend': 602.9, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 14525, 'BlocDividend': 34.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 5710, 'CompanyDividend': 34.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 32551, 'BlocDividend': 22.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 12073, 'CompanyDividend': 22.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 61296, 'BlocDividend': 19.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 22408, 'CompanyDividend': 19.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
MonWedLotto,4052,2021-02-15T00:00:00,"[42, 5, 28, 25, 36, 1]","[24, 32]",,"[{'Division': 1, 'BlocNumberOfWinners': 0, 'BlocDividend': 0.0, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 0, 'CompanyDividend': 0.0, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 2, 'BlocNumberOfWinners': 15, 'BlocDividend': 7583.85, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 1, 'CompanyDividend': 7583.85, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 3, 'BlocNumberOfWinners': 215, 'BlocDividend': 815.15, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 82, 'CompanyDividend': 815.15, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 4, 'BlocNumberOfWinners': 11535, 'BlocDividend': 43.25, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 4274, 'CompanyDividend': 43.25, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 5, 'BlocNumberOfWinners': 27990, 'BlocDividend': 25.35, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 11002, 'CompanyDividend': 25.35, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}, {'Division': 6, 'BlocNumberOfWinners': 59629, 'BlocDividend': 20.1, 'CompanyId': 'NSWLotteries', 'CompanyNumberOfWinners': 21578, 'CompanyDividend': 20.1, 'PoolTransferType': 'NONE', 'PoolTransferredTo': 0}]"
